Data,Não indexadas,Indexados,Impressões
2025-11-21,4,0,1
2025-11-22,8,9,16
2025-11-23,8,9,28
2025-11-24,8,9,124
2025-11-25,8,9,107
2025-11-26,8,9,129
2025-11-27,8,9,108
2025-11-28,8,9,113
2025-11-29,8,9,163
2025-11-30,8,9,110
2025-12-01,8,9,146
2025-12-02,8,9,44
2025-12-03,8,9,39
2025-12-04,8,9,16
2025-12-05,8,9,18
2025-12-06,8,9,42
2025-12-07,8,9,22
2025-12-08,8,9,26
2025-12-09,8,9,36
2025-12-10,8,9,27
2025-12-11,8,9,82
2025-12-12,8,9,158
2025-12-13,8,9,495
2025-12-14,8,9,354
