Motivo,Fonte,Validação,Páginas
Não encontrado (404),Site,Não foi iniciado,3
Página com redirecionamento,Site,Não foi iniciado,2
Erro de redirecionamento,Site,Não foi iniciado,1
Bloqueada pelo robots.txt,Site,Não foi iniciado,1
"Rastreada, mas não indexada no momento",Sistemas do Google,Iniciado,1
